Wallet address,Twitter account,Tweet link for Mission1,Tweet link (Quoted RT) for Mission-7,Mission-8. Idea for Custom Risk Index,Article link for Mission-9
0x140aAd397c6F242546B097cbd706Bb585B6Ef9a7,@ilman_4646,https://twitter.com/ilman_4646/status/1424919714313109505?s=19,https://twitter.com/ilman_4646/status/1425090995268505602?s=19,1,1
0x1D331DB5BE0B9031De0b5Bf553e333f6a3915c93,@James75710761,https://twitter.com/James75710761,https://twitter.com/James75710761/status/1424919726321377281?s=20,1,1
0x295aaAA6eF36C1c7977B67D2c620D2C6545d53D9,@ImannudinAchmad,https://twitter.com/ImannudinAchmad/status/1425094198789918729?s=20,,1,1
0xb9f431e98cE1aE696c72a4d081084D2B5C432EfB,@har190299,https://twitter.com/har190299/status/1425094637224611841,https://twitter.com/har190299/status/1425094213050507270,1,1
0x35692DFA7420B6fa102945813c949C2857a17Df7,https://twitter.com/nurilbwi,https://twitter.com/nurilbwi/status/1424918219849015299,https://twitter.com/nurilbwi/status/1424923793370214402,1,1
0xb7397F064686405abfe472FD48e6Ff51d9e5e105,@worries22,https://twitter.com/worries22/status/1425094587484459022?s=20,https://twitter.com/worries22/status/1425094821841149952?s=20,1,1
0x80f6b3b317B30c0867cA1A1640A3fbbF9496cEa1,Https://twitter.com/adriancrypto2,https://twitter.com/adriancrypto2/status/1425094390549204996?s=21,https://twitter.com/adriancrypto2/status/1425094679553613829?s=21,1,1
0xb201111aBdbf328b6CFf5b5249764A0bA62c4008,@uira78,https://twitter.com/uira78/status/1425093617245433856?s=19,https://twitter.com/uira78/status/1425093235920314376?s=19,1,1
0x4F8E9451851f949028740B8dAefC68D70A1c4d1c,@txtdarisaham,https://twitter.com/txtdarisaham/status/1425094542580137988,https://twitter.com/txtdarisaham/status/1425094737099382792,1,1
0x3e246cF4C1383878747590dcC95418b917894512,@hendii_sp,https://twitter.com/hendii_sp/status/1425093485531738125,https://twitter.com/hendii_sp/status/1425094255463305227,1,1
0x48849AAf98489aE0872bBB91ab798CBcBa1EC5d5,@dalinggra,https://twitter.com/dalinggra/status/1425091635398991876?s=20,https://twitter.com/dalinggra/status/1425091635398991876?s=20,1,1
0xd524A6e844f713d3D02B05411595058d80ad669b,@PUKONALDO,https://www.twitter.com/PUKONALDO/status/1425091944770899974,https://www.twitter.com/PUKONALDO/status/1425092245452206089,1,1
0xC5B50c3cF892EdEA7F66f0975BF0574CD34B3cBA,https://www.twitter.com/asepkuli1,https://twitter.com/Asepkuli1/status/1424915054252544006?s=19,https://twitter.com/Asepkuli1/status/1424916377672945664?s=19,1,1
0x5276E95F8a61f8E3AD4AE91452CEB2177961cCF6,@wakandafams,https://twitter.com/Wakandafams/status/1425094969501564933?s=19,https://twitter.com/Wakandafams/status/1425094969501564933?s=19,1,1
0xa7b1b1B39363da459d152ED366a72567c66E747B,https://twitter.com/bargoo02?s=09,https://twitter.com/bargoo02/status/1425092232437141504?s=19,https://twitter.com/bargoo02/status/1425092232437141504?s=19,1,1
0xf68aFDAcaabae08df791ad768AB08aBbE0B529b9,@Armanardiy,https://twitter.com/armanardiy/status/1425094137766948867?s=19,https://twitter.com/armanardiy/status/1425094874488057874?s=19,1,1
0x45AC86B88202176752BC19b6e04b057f34a29E26,@Damars08,https://twitter.com/Damars08/status/1425095081313382405,https://twitter.com/Damars08/status/1425095081313382405,1,1
0x13A98c614cD0e648E272A687920cC78266Df2823,@mylive690,https://twitter.com/MyLive690/status/1424925068606414850?s=19,https://twitter.com/MyLive690/status/1425093153447682064?s=19,1,1
0xCd0827D9bBc5d0CdAf67eDC97748fEa659e7AEC3,https://twitter.com/i_scionoflight,https://twitter.com/i_scionoflight/status/1425078382417653761?s=19,https://twitter.com/i_scionoflight/status/1425091787278934016?s=19,1,1
0xc01b309c85297BcF5e5b8dEF88836C126dA44732,@kamtekr,https://twitter.com/kamtekr/status/1424981683506348041?s=19,https://twitter.com/kamtekr/status/1425095249219792904?s=19,1,1
0x1FD43984C4c1fB852F2d5a8Ba69b25FE72ec9Ac5,@Firzamaulana_,https://twitter.com/Firzamaulana_,https://twitter.com/Firzamaulana_/status/1425095016326869000,1,1
0x007eAb1F37aEcd3c235aBD613BB3F592B2D9B1C7,@gwenitwiz,https://twitter.com/Gwenitwiz/status/1424923180213227526?s=19,https://twitter.com/Gwenitwiz/status/1424923180213227526?s=19,1,1
0x6034aF6A7d178a64cd554141493C63fB25D3a3FE,@Rahmatisma46,https://twitter.com/Rahmatisma46/status/1424957986749902854?s=20,https://twitter.com/insuredao/status/1423676009274953733?s=20,1,1
0x68521929C7eF13c826dc4bB5E022036c19c9e658,Alzakyy07,https://www.twitter.com/Alzakyy07,https://twitter.com/alzakyy07/status/1425095405155622917?s=19,1,1
0x2c89767996FF31cB14b45C2e4cE2Fa25B04125c8,https://mobile.twitter.com/bang_pateng/,https://mobile.twitter.com/bang_pateng/status/1424934624766009345,https://mobile.twitter.com/bang_pateng/status/1425094743852257285,1,1
0x7d5E6E52443433BB8df673844b16a391D770d001,@orangterkucil,https://twitter.com/orangterkucil/status/1425095157272174603,https://twitter.com/orangterkucil/status/1425095012661055497,1,1
